Entity Type,Entity Value,Intent,Replies
allowance_type,call back allowance,approval-violation,You will only get your allowance in the next pay cycle.
allowance_type,call back allowance,approval-violation,"No worries, you will still get your allowance, only it will come in the next months pay cycle."
allowance_type,call back allowance,cancellation-process-how,"You may go onto Orisoft, and withdraw your application"
allowance_type,call back allowance,cancellation-process-how,Simply log onto Orisoft and withdraw your application. 
allowance_type,call back allowance,cancellation-process-how,All you have to do is go onto Orisoft and click withdraw to cancel your application
allowance_type,call back allowance,cancellation-timing-when,You should do it before your manager approves it.
allowance_type,call back allowance,cancellation-timing-when,You can cancel it as long as your manager has not approved it.
allowance_type,call back allowance,cancellation-timing-when,"If you manager has not approved it, you may cancel it"
allowance_type,call back allowance,cancellation-person-who,Your immediate manager approves your call back allowance.
allowance_type,call back allowance,cancellation-person-who,Please get your immediate manager to approve it.
allowance_type,call back allowance,cancellation-person-who,The approval will go to your immediate manager.
allowance_type,call back allowance,conditions-others-taxable,"As per Malaysian Income Tax requirement, this allowance will be declared in your Income Tax statement (EA Form) and is subject to any statutory requirements."
allowance_type,call back allowance,conditions-others-taxable,All allowances are subjected to any statutory requirements in Malaysia. 
allowance_type,call back allowance,conditions-others-taxable,Statutory requirements applies to all allowances.
allowance_type,language allowance,description-definition-what,Language allowance is paid to suitably qualified employees who have a basic level of competence in a language as identified by the company as a requirement to perform their role.
allowance_type,language allowance,descrption-definition-fullpolicy,You can find the policy at WOW portal
allowance_type,language allowance,description-others-policyowner,The policy owner for language allowance is the Rewards Team from HR. 
allowance_type,language allowance,description-others-policyowner,The Rewards Team from HR is the policy owner for language allowance.
allowance_type,language allowance,description-others-policyowner,"If you really need to speak to someone, reach out to the Rewards Team from HR. "
allowance_type,language allowance,description-others-policyowner,The PIC for this policy is the Rewards Team from HR.
allowance_type,language allowance,description-others-policyowner,You can reach out to the Rewards Team from HR regarding this policy. 
allowance_type,language allowance,entitlement-process-exhausted,"Sorry, but once you finish your allowance you will have to wait until the next pay cycle for more as there is only a fixed amount of allowance given. "
allowance_type,language allowance,entitlement-process-factors,Language allowance is subjected to the following conditions: you are from the Contact Centre under Mandarin Queue & have a basic level of competence in Mandarin.
allowance_type,language allowance,entitlement-process-factors,"There are two conditions to note, you are from the Contact Centre under Mandarin Queue & have a basic level of competence in Mandarin."
allowance_type,language allowance,entitlement-process-factors,"To claim for language allowance, you must be from the Contact Centre under Mandarin Queue & have a basic level of competence in Mandarin."
allowance_type,language allowance,escalation,Please raise any concerns you have on DêCare.
allowance_type,language allowance,entitlement-person-who,"This allowance is applicable to employees at the Contact Centre: - Front end employees (Mandarin Queue)- Postpaid/Prepaid team Contact Centre Enterprise Business(Mandarin Queue)"
allowance_type,language allowance,entitlement-person-what,Mandarin Language only - RM500.00 per month and is subject to pro-ration where applicable.
allowance_type,language allowance,entitlement-person-what,You are entitled up to RM500.00 per month for Mandarin Language only. This is subject to pro-ration where applicable.
allowance_type,language allowance,entitlement-person-resignation,Employees should ensure that they submit all claims before their last physical day with the Company. Payout will be credited along with your monthly salary. 
allowance_type,language allowance,entitlement-system-view,Go to Orisoft -> FLOWnet -> Request forms -> Allowance. Choose the right allowance and your amount is there.
allowance_type,language allowance,entitlement-system-view,"To check for your entitlement, you need to go onto Orisoft -> FLOWnet -> Request forms -> Allowance."
allowance_type,language allowance,entitlement-system-view,Your language allowance can been seen in Orisoft -> FLOWnet -> Request forms -> Allowance.
allowance_type,language allowance,entitlement-system-calculaterate,"It is a fixed allowance of RM 500.00 per month, subject to pro-ration where applicable"
allowance_type,language allowance,approval-process-apply,The employeeês department administrator will enlist the employeeês eligibility by submitting his/her name to Orisoft. The immediate manager will then approve the amount based on their eligibility as submitted by the department administrator. 
allowance_type,language allowance,approval-process-edit,"Language allowance is submitted by your immediate manager, so if you want to resubmit this claim for the language allowance, you will have to speak to your immediate manager."
allowance_type,language allowance,approval-timing-when,Please submit your claim on Orisoft by the 15th of the month.
allowance_type,language allowance,approval-timing-when,You should submit your claim by the 15th of the month.
allowance_type,language allowance,approval-timing-when,We close all claim submissions on the 15th of every month
allowance_type,language allowance,approval-timing-duration,That would highly depend on your immediate manager
allowance_type,language allowance,approval-timing-payout,Language allowance will be paid out on the 28th along with the employeeês monthly salary.
allowance_type,language allowance,approval-escalation,"You will need to seek clarification from your line manager, if this is not satisfactoy, you may speak to your HRG or HRBP."
allowance_type,language allowance,approval-person-who,The immediate manager will be responsible in validating and approving the employeeês language allowance entitlement submitted by the department administrator. 
allowance_type,language allowance,approval-person-absentmanager,"Unfortunately, you will have to wait for your manager to return to approve your allowance on Orisoft. Or try to get him or her on D'Claim."
allowance_type,language allowance,approval-person-absentmanager,"Only your manager can approve this allowance, please wait for him or her to return. Or get him or her to do it on D'Claim"
allowance_type,language allowance,approval-person-absentmanager,"Sorry, but your manager is the only person allowed to approve this claim. Altenatively, you can get him to do it on D'Claim."
allowance_type,language allowance,approval-document,"No documents required, only your immediate manager's approval"
allowance_type,language allowance,approval-document,There is no documents needed for this allowance.
allowance_type,language allowance,approval-document,"No documents needed to apply for language allowance, only your manager's approval."
allowance_type,language allowance,approval-system-statusview,The status of your claim can be checked on Orisoft or D'Claim
allowance_type,language allowance,approval-system-statusview,Please check on D'Claim or Orisoft to see where you claim is at right now.
allowance_type,language allowance,approval-system-statusview,You may check it on D'Claim or Orisoft.
allowance_type,language allowance,approval-violation,You will only get your allowance in the next pay cycle.
allowance_type,language allowance,approval-violation,"No worries, you will still get your allowance, only it will come in the next months pay cycle."
allowance_type,language allowance,cancellation-process-how,"You may go onto Orisoft, and withdraw your application"
allowance_type,language allowance,cancellation-process-how,Simply log onto Orisoft and withdraw your application. 
allowance_type,language allowance,cancellation-process-how,All you have to do is go onto Orisoft and click withdraw to cancel your application
allowance_type,language allowance,cancellation-timing-when,You should do it before your manager approves it.
allowance_type,language allowance,cancellation-timing-when,You can cancel it as long as your manager has not approved it.
allowance_type,language allowance,cancellation-timing-when,"If you manager has not approved it, you may cancel it"
allowance_type,language allowance,cancellation-person-who,Your immediate manager approves your language allowance cancellation.
allowance_type,language allowance,cancellation-person-who,Please get your immediate manager to approve it.
allowance_type,language allowance,cancellation-person-who,The approval will go to your immediate manager.
allowance_type,language allowance,conditions-others-taxable,"As per Malaysian Income Tax requirement, this allowance will be declared in your Income Tax statement (EA Form) and is subject to any statutory requirements."
allowance_type,language allowance,conditions-others-taxable,"Yes, allowances are subjected to any statutory requirements as per Malaysian Income Tax regulation"
allowance_type,language allowance,conditions-others-taxable,All allowances are subjected to any statutory requirements in Malaysia. 
allowance_type,language allowance,conditions-others-taxable,Statutory requirements applies to all allowances
allowance_type,language allowance,conditions-others-taxable,"Yes, this is declared in your Income Tax statement, and is subject to any statutory requirements"
allowance_type,mall allowance,description-definition-what,This allowance is paid to compensate employees when their work location is situated at a shopping mall.
allowance_type,mall allowance,description-definition-what,Mall allowance is given to employees whose work location is at a shopping mall. 
allowance_type,mall allowance,description-definition-what,You are entitled to receive mall allowance if you are a Digizen working at a shopping mall. 
allowance_type,mall allowance,description-definition-what,Mall allowance will be given to those who are working at a shopping mall. 
allowance_type,mall allowance,description-definition-what,It is an allowance paid to employees whose work location is at a shopping mall. 
allowance_type,mall allowance,description-system-fullpolicy,You can find the policy at WOW portal
allowance_type,mall allowance,description-others-policyowner,The policy owner for mall allowance is the Rewards Team from HR. 
allowance_type,mall allowance,description-others-policyowner,The Rewards Team from HR is the policy owner for mall allowance.
allowance_type,mall allowance,description-others-policyowner,"If you really need to speak to someone, reach out to the Rewards Team from HR. "
allowance_type,mall allowance,description-others-policyowner,The PIC for this policy is the Rewards Team from HR.
allowance_type,mall allowance,description-others-policyowner,You can reach out to the Rewards Team from HR regarding this policy. 
allowance_type,mall allowance,entitlement-process-factors,"If you are based at a shopping mall, your immediate manager will need to inform HR on your eligibility to get mall allowance."
allowance_type,mall allowance,entitlement-process-factors,"To get mall allowance, you need to be based at a shopping mall and your immediate manager needs to inform HR on your eligibility. "
allowance_type,mall allowance,entitlement-process-factors,"To receive mall allowance, you must be based at a shopping mall and your immediate manager must inform HR on this. "
allowance_type,mall allowance,entitlement-process-factors,You need to be working at a shopping mall to get this allowance and your immediate manager must keep HR informed.
allowance_type,mall allowance,entitlement-process-factors,"To be entitled to mall allowance, you must be working at a shopping mall and your immediate manager needs to keep HR informed. "
allowance_type,mall allowance,entitlement-process-exhausted,"Sorry, but once you finish your allowance you will have to wait until the next pay cycle for more as there is only a fixed amount of allowance given. "
allowance_type,mall allowance,escalation,Please raise any concerns you have on DêCare.
allowance_type,mall allowance,entitlement-person-who,"Retail employees will be entitled to receive mall allowance, excluding those who are on maternity leave."
allowance_type,mall allowance,entitlement-person-who,"If you are a retail employee, you will be entitled to receive mall allowance. This excludes retail employees on maternity leave."
allowance_type,mall allowance,entitlement-person-who,"Mall allowance will be given to retail employees, excluding those who are away on maternity leave."
allowance_type,mall allowance,entitlement-person-who,You will get mall allowance if you are a retail employee at Digi. This excludes those who are on maternity leave.
allowance_type,mall allowance,entitlement-person-who,You will receive mall allowance if you are a retail employee at Digi. This will not be given to retail employees on maternity leave.
allowance_type,mall allowance,entitlement-person-what,You willl receive RM320 per month and is subject to pro-ration where applicable.
allowance_type,mall allowance,entitlement-person-resignation,Employees should ensure that they submit all claims before their last physical day with the Company. Payout will be credited along with your monthly salary. 
allowance_type,mall allowance,entitlement-system-view,You can view your entitlement on your monthly payslip via Orisoft.
allowance_type,mall allowance,entitlement-system-view,Login to Orisoft to view your payslip. 
allowance_type,mall allowance,entitlement-system-view,You will need to use Orisoft to view your mall allowance entitlement on your payslip.
allowance_type,mall allowance,entitlement-system-view,The system you will need to use is Orisoft. View your mall allowance entitlement on your payslip. 
allowance_type,mall allowance,entitlement-system-view,View your mall allowance entitlement on your payslip published on Orisoft.
allowance_type,mall allowance,entitlement-system-calculaterate,"It is a fixed allowance of RM 320.00 per month, subject to pro-ration where applicable"
allowance_type,mall allowance,approval-process-apply,The employeeês department administrator will enlist the employeeês eligibility by submitting his/her name on Orisoft. The immediate manager will then approve the amount based on their eligibility as submitted by the department administrator. 
allowance_type,mall allowance,approval-process-edit,"Mall allowance is submitted by your immediate manager, so if you want to resubmit this claim for the mall allowance, you will have to speak to your immediate manager."
allowance_type,mall allowance,approval-timing-payout,Mall allowance will be paid on the 28th along with your monthly base salary. 
allowance_type,mall allowance,approval-timing-payout,You will receive your mall allowance on the 28th together with your monthly base salary. 
allowance_type,mall allowance,approval-timing-payout,"The payout date for mall allowance is the 28th, same as your monthly base salary. "
allowance_type,mall allowance,approval-timing-payout,Mall allowance will be credited together with your monthly base salary on the 28th.
allowance_type,mall allowance,approval-timing-payout,Mall allowance and your monthly base salary will be paid together on the 28th.
allowance_type,mall allowance,approval-timing-duration,This will depend on your immediate manager.
allowance_type,mall allowance,approval-timing-when,"Yes, please submit your claim on Orisoft by the 15th of the month."
allowance_type,mall allowance,approval-timing-when,You should submit your claim by the 15th of the month.
allowance_type,mall allowance,approval-timing-when,We close all claim submissions on the 15th of every month
allowance_type,mall allowance,approval-escalation,"Should an employee wish to speak to someone about his/ her mall allowance, s/he may speak to his/ her immediate manager or HR Business Partner of his/her division. "
allowance_type,mall allowance,approval-escalation,"You may speak to your line manager, or your HR Business Partner to clarify this case."
allowance_type,mall allowance,approval-escalation,"Usually your line manager can help clarify this, but if you are not satisfied with his or her answer, you can speak to your HR Business Partner or HR Generalist."
allowance_type,mall allowance,approval-escalation,Please reach out to your line manager and HR Generalist and HR Business Partner.
allowance_type,mall allowance,approval-person-who,"The employeeês immediate manager will be in charge of enlisting, validating and approving the employeeês eligibility to claim mall allowance."
allowance_type,mall allowance,approval-person-who,The person in charge of approving your mall allowance is your immediate manager.
allowance_type,mall allowance,approval-person-who,Your immediate manager is responsible to approve your mall allowance.
allowance_type,mall allowance,approval-person-who,Your mall allowance will be approved by your immediate manager.
allowance_type,mall allowance,approval-person-who,Your immediate manager is in charge of approving your mall allowance.
allowance_type,mall allowance,approval-person-absentmanager,"Unfortunately, you will have to wait for your manager to return to approve your allowance on Orisoft. Or try to get him or her on D'Claim."
allowance_type,mall allowance,approval-person-absentmanager,"Only your manager can approve this allowance, please wait for him or her to return. Or get him or her to do it on D'Claim"
allowance_type,mall allowance,approval-person-absentmanager,"Sorry, but your manager is the only person allowed to approve this claim. Altenatively, you can get him to do it on D'Claim."
allowance_type,mall allowance,approval-document,No document is required.
allowance_type,mall allowance,approval-document,You will not need to submit any document. 
allowance_type,mall allowance,approval-document,You don't need to submit any document to prove your entitlement for mall allowance.
allowance_type,mall allowance,approval-document,You will not be required to submit any document. 
allowance_type,mall allowance,approval-document,No document needed. 
allowance_type,mall allowance,approval-system-statusview,You can view your shift allowance in your pay-slip on Orisoft.
allowance_type,mall allowance,approval-system-statusview,You will be able to see your shift allowance in your pay-slip on Orisoft.
allowance_type,mall allowance,approval-system-statusview,You will be able to check your shift allowance in your pay-slip on Orisoft.
allowance_type,mall allowance,approval-system-statusview,Login to Orisoft and you will find your shift allowance details on your pay-slip.
allowance_type,mall allowance,approval-system-statusview,Login to Orisoft and you will see your shift allowance details on your pay-slip.
allowance_type,mall allowance,approval-violation,You will only get your allowance in the next pay cycle.
allowance_type,mall allowance,approval-violation,"No worries, you will still get your allowance, only it will come in the next months pay cycle."
allowance_type,mall allowance,cancellation-process-how,"You may speak to your line manager, he or she is in charge of cancellations of Mall Allowances where applicable"
allowance_type,mall allowance,cancellation-process-how,"To cancel your Mall Allowance, you have to speak to your line manager."
allowance_type,mall allowance,cancellation-process-how,The only way to cancel this type of allowance to to speak to your line manager.
allowance_type,mall allowance,cancellation-timing-when,You should do it before your manager approves it.
allowance_type,mall allowance,cancellation-timing-when,You can cancel it as long as your manager has not approved it.
allowance_type,mall allowance,cancellation-timing-when,"If you manager has not approved it, you may cancel it"
allowance_type,mall allowance,cancellation-person-who,Your immediate manager has the rights to cancel your mall allowance.
allowance_type,mall allowance,cancellation-person-who,Your immediate manager has the authority to cancel your mall allowance.
allowance_type,mall allowance,cancellation-person-who,Your immediate manager can cancel your mall allowance.
allowance_type,mall allowance,cancellation-person-who,The person who can cancel your mall allowance is your immediate manager.
allowance_type,mall allowance,cancellation-person-who,The person who can remove your mall allowance entitlement is your immediate manager.
allowance_type,mall allowance,conditions-others-taxable,"Yes, allowances are subjected to any statutory requirements as per Malaysian Income Tax regulation"
allowance_type,mall allowance,conditions-others-taxable,All allowances are subjected to any statutory requirements in Malaysia. 
allowance_type,mall allowance,conditions-others-taxable,Statutory requirements applies to all allowances
allowance_type,mall allowance,conditions-others-taxable,"As per Malaysian Income Tax regulation, this allowance will be declared in the employees Income Tax statement (EA Form) and is subject to any statutory requirements"
allowance_type,mall allowance,conditions-others-taxable,"Yes, this is declared in your Income Tax statement, and is subject to any statutory requirements"
allowance_type,mobility allowance,description-definition-what,Mobility allowance is paid to employees who participate in Telenor's Mobility program. Mobility allowance is compensation for the employees expertise which may include knowledge and skill shared with the host country throughout the assignment period.
allowance_type,mobility allowance,description-system-fullpolicy,You can find the policy at WOW portal
allowance_type,mobility allowance,description-others-policyowner,The policy owner for mobility allowance is the Rewards Team from HR. 
allowance_type,mobility allowance,description-others-policyowner,The Rewards Team from HR is the policy owner for mobility allowance.
allowance_type,mobility allowance,description-others-policyowner,"If you really need to speak to someone, reach out to the Rewards Team from HR. "
allowance_type,mobility allowance,description-others-policyowner,The PIC for this policy is the Rewards Team from HR.
allowance_type,mobility allowance,description-others-policyowner,You can reach out to the Rewards Team from HR regarding this policy. 
allowance_type,mobility allowance,entitlement-process-exhausted,"Sorry, but once you finish your allowance you will have to wait until the next pay cycle for more as there is only a fixed amount of allowance given. "
allowance_type,mobility allowance,entitlement-process-factors,Mobility allowance is subjected to the following condition: you are on short term international assignment that runs from 3 months up to 12 months in a single country.
allowance_type,mobility allowance,entitlement-process-factors,"To claim for mobility allowance, you must be on short term international assignment that runs from 3 months up to 12 months in a single country."
allowance_type,mobility allowance,escalation,Please raise any concerns you have on DêCare.
allowance_type,mobility allowance,entitlement-person-who,Mobility incentive is only applicable to employee who is on short term international assignment (3 months up to 12 months in a single country). 
allowance_type,mobility allowance,entitlement-person-what,Kindly refer to Telenor's Mobility program schedule for the different type of allowances and its rates.
allowance_type,mobility allowance,entitlement-person-resignation,Employees should ensure that they submit all claims before their last physical day with the Company. Payout will be credited along with your monthly salary. 
allowance_type,mobility allowance,entitlement-system-view,Go to Orisoft -> FLOWnet -> Request forms -> Allowance. Choose the right allowance and your amount is there.
allowance_type,mobility allowance,entitlement-system-view,"To check for your entitlement, you need to go onto Orisoft -> FLOWnet -> Request forms -> Allowance."
allowance_type,mobility allowance,entitlement-system-view,Your mobility allowance can been seen in Orisoft -> FLOWnet -> Request forms -> Allowance.
allowance_type,mobility allowance,approval-process-apply,No steps are needed as the eligible amount is clearly stated in the assignment letter. It is paid in the home country payroll together with monthly salary.
allowance_type,mobility allowance,approval-timing-duration,That would highly depend on your immediate manager
allowance_type,mobility allowance,approval-timing-when,Please submit your claim on Orisoft by the 15th of the month.
allowance_type,mobility allowance,approval-timing-when,You should submit your claim by the 15th of the month.
allowance_type,mobility allowance,approval-timing-when,We close all claim submissions on the 15th of every month
allowance_type,mobility allowance,approval-timing-payout,"This allowance will be paid in the employeeês home country along with the monthly payroll. In Malaysia, the payroll payout is on the 28th of the month. "
allowance_type,mobility allowance,approval-escalation,"You will need to seek clarification from your line manager, if this is not satisfactoy, you may speak to your HRG or HRBP."
allowance_type,mobility allowance,approval-person-who,This will go through the normal compensation change request process initiated by the immediate manager. This will be initiated on Workday. 
allowance_type,mobility allowance,approval-person-absentmanager,"Unfortunately, you will have to wait for your manager to return to approve your allowance on Orisoft. Or try to get him or her on D'Claim."
allowance_type,mobility allowance,approval-person-absentmanager,"Only your manager can approve this allowance, please wait for him or her to return. Or get him or her to do it on D'Claim"
allowance_type,mobility allowance,approval-person-absentmanager,"Sorry, but your manager is the only person allowed to approve this claim. Altenatively, you can get him to do it on D'Claim."
allowance_type,mobility allowance,approval-document,"No documents required, only your immediate manager's approval"
allowance_type,mobility allowance,approval-document,There is no documents needed for this allowance.
allowance_type,mobility allowance,approval-document,"No documents needed to apply for mobility allowance, only your manager's approval."
allowance_type,mobility allowance,approval-system-statusview,The status of your claim can be checked on Orisoft or D'Claim
allowance_type,mobility allowance,approval-system-statusview,Please check on D'Claim or Orisoft to see where you claim is at right now.
allowance_type,mobility allowance,approval-system-statusview,You may check it on D'Claim or Orisoft.
allowance_type,mobility allowance,approval-violation,You will only get your allowance in the next pay cycle.
allowance_type,mobility allowance,approval-violation,"No worries, you will still get your allowance, only it will come in the next months pay cycle."
allowance_type,mobility allowance,cancellation-process-how,"You may go onto Orisoft, and withdraw your application"
allowance_type,mobility allowance,cancellation-process-how,Simply log onto Orisoft and withdraw your application. 
allowance_type,mobility allowance,cancellation-process-how,All you have to do is go onto Orisoft and click withdraw to cancel your application
allowance_type,mobility allowance,cancellation-timing-when,You should do it before your manager approves it.
allowance_type,mobility allowance,cancellation-timing-when,You can cancel it as long as your manager has not approved it.
allowance_type,mobility allowance,cancellation-timing-when,"If you manager has not approved it, you may cancel it"
allowance_type,mobility allowance,cancellation-process-who,Your immediate manager approves your mobility allowance cancellation.
allowance_type,mobility allowance,cancellation-process-who,Please get your immediate manager to approve it.
allowance_type,mobility allowance,cancellation-process-who,The approval will go to your immediate manager.
allowance_type,mobility allowance,conditions-others-taxable,"Yes, allowances are subjected to any statutory requirements as per Malaysian Income Tax regulation"
allowance_type,mobility allowance,conditions-others-taxable,All allowances are subjected to any statutory requirements in Malaysia. 
allowance_type,mobility allowance,conditions-others-taxable,Statutory requirements applies to all allowances
allowance_type,mobility allowance,conditions-others-taxable,"As per Malaysian Income Tax regulation, this allowance will be declared in the employees Income Tax statement (EA Form) and is subject to any statutory requirements"
allowance_type,mobility allowance,conditions-others-taxable,"Yes, this is declared in your Income Tax statement, and is subject to any statutory requirements"
allowance_type,monthly parking allowance,description-definition-what,"Fixed monthly parking allowance is given to employees as subsidy for monthly parking expenses. Locations include Alor Setar (DC), Api-Api, Batu Pahat, Bayan Baru, Ipoh Greentown DS, Johor Office, Klang, Kuching, Lahad Datu, Penang Office, Perak Office, Melaka Office, Pulau Tikus, Sabah Office, Sarawak Office, Seberang Jaya, Seremban, Sibu, SS2, Taiping, Tawau, Tmn Molek, Sandakan."
allowance_type,monthly parking allowance,description-definition-what,"Monthly parking allowance is provided to subsidise employee's monthly parking expenses. Locations include Alor Setar (DC), Api-Api, Batu Pahat, Bayan Baru, Ipoh Greentown DS, Johor Office, Klang, Kuching, Lahad Datu, Penang Office, Perak Office, Melaka Office, Pulau Tikus, Sabah Office, Sarawak Office, Seberang Jaya, Seremban, Sibu, SS2, Taiping, Tawau, Tmn Molek, Sandakan."
allowance_type,monthly parking allowance,description-system-fullpolicy,You can find the policy at WOW portal
allowance_type,monthly parking allowance,description-others-policyowner,The policy owner for monthly parking allowance is the Rewards Team from HR. 
allowance_type,monthly parking allowance,description-others-policyowner,The Rewards Team from HR is the policy owner for monthly parking allowance.
allowance_type,monthly parking allowance,description-others-policyowner,"If you really need to speak to someone, reach out to the Rewards Team from HR. "
allowance_type,monthly parking allowance,description-others-policyowner,The PIC for this policy is the Rewards Team from HR.
allowance_type,monthly parking allowance,description-others-policyowner,You can reach out to the Rewards Team from HR regarding this policy. 
allowance_type,monthly parking allowance,entitlement-process-factors,"Monthly parking allowance is subjected to the following conditions: you are permanent or contract employee based in regional offices (except D'House and Malls), you are not receiving Mall Allowance, you are not on Maternity Leave."
allowance_type,monthly parking allowance,entitlement-process-factors,"There are three conditions to note: you are permanent or contract employee based in regional offices (except D'House and Malls), you are not receiving Mall Allowance, you are not on Maternity Leave."
allowance_type,monthly parking allowance,entitlement-process-factors,"To claim for monthly parking allowance, you must be a permanent or contract employee based in regional offices (except D'House and Malls), not receiving Mall Allowance and not on Maternity Leave."
allowance_type,monthly parking allowance,entitlement-process-exhausted,"Sorry, but once you finish your allowance you will have to wait until the next pay cycle for more as there is only a fixed amount of allowance given. "
allowance_type,monthly parking allowance,escalation,Please raise any concerns you have on DêCare.
allowance_type,monthly parking allowance,entitlement-person-who,All regular and fixed term employees who are based at the regional offices (excluding DêHouse and Malls) and employees who are based at Digi Stores located at the shop lots where parking is not provided will be eligible to receive this allowance and not applicable to those receiving mall allowance. 
allowance_type,monthly parking allowance,entitlement-person-what,The monthly parking allowance is fixed at RM75 and is subject to pro- ration where applicable.
allowance_type,monthly parking allowance,entitlement-person-resignation,Employees should ensure that they submit all claims before their last physical day with the Company. Payout will be credited along with your monthly salary. 
